"Default Indicator Name","Model Name","Unit of Entry","Default Unit","Conversion Factor","Note"
"Emissions|GHG Emissions by Sector|Agriculture","","MMT CO2e","Mt CO2e/yr","",""
"Emissions|GHG Emissions by Sector|Buildings","","MMT CO2e","Mt CO2e/yr","",""
"Emissions|GHG Emissions by Sector|Electricity","","MMT CO2e","Mt CO2e/yr","",""
"","","MMT CO2e",,"",""
"Emissions|GHG Emissions by Sector|Industry","","MMT CO2e","Mt CO2e/yr","",""
"Emissions|GHG Emissions by Sector|Waste","","MMT CO2e","Mt CO2e/yr","","this indicator also includes emissions from recycling"
"Emissions|GHG Emissions by Sector|Transportation","","MMT CO2e","Mt CO2e/yr","",""
"Emissions|Total GHG Emissions|Excluding LULUCF","","MMT CO2e","Mt CO2e/yr","",""
"Emissions|Total GHG Emissions|Energy Related","","MMT CO2e","Mt CO2e/yr","",""
"Energy|Final Energy by Fuel|Gases","","EJ","EJ/yr","",""
"Energy|Final Energy by Fuel|Gaseous Biomass","","EJ","EJ/yr","",""
"Energy|Final Energy by Fuel|Gasoline","","EJ","EJ/yr","",""
"Energy|Final Energy by Fuel|Diesel","","EJ","EJ/yr","",""
"Energy|Final Energy by Fuel|Electricity","","EJ","EJ/yr","",""
"Energy|Final Energy by Fuel|Hydrogen","","EJ","EJ/yr","",""
"Energy|Final Energy by Fuel|Other","","EJ","EJ/yr","",""
"Energy|Final Energy by Fuel|Total","","EJ","EJ/yr","",""
"Energy|Final Energy Use by Sector|Electricity","","EJ","EJ/yr","",""
"Buildings|Energy Use By Sub-Sector|Residential","","EJ","EJ/yr","",""
"Buildings|Energy Use By Sub-Sector|Commercial","","EJ","EJ/yr","",""
"Energy|Final Energy Use by Sector|Transportation","","EJ","EJ/yr","",""
"Energy|Final Energy Use by Sector|Industry","","EJ","EJ/yr","",""
"Energy|Final Energy Use by Sector|Agriculture","","EJ","EJ/yr","",""
"Electricity|Generation by technology|Combined Heat and Power","","TWh","EJ/yr","",""
"Electricity|Generation by technology|Nuclear","","TWh","EJ/yr","",""
"Electricity|Generation by technology|Coal","","TWh","EJ/yr","",""
"Electricity|Generation by technology|Gas","","TWh","EJ/yr","",""
"Electricity|Generation by technology|Gas w/ CCS","","TWh","EJ/yr","",""
"Electricity|Generation by technology|Hydro","","TWh","EJ/yr","",""
"Electricity|Generation by technology|Biomass","","TWh","EJ/yr","",""
"Electricity|Generation by technology|Geothermal","","TWh","EJ/yr","",""
"Electricity|Generation by technology|Solar","","TWh","EJ/yr","",""
"Electricity|Generation by technology|Wind","","TWh","EJ/yr","",""
"Electricity|Generation by technology|Solar PV (distributed)","","TWh","EJ/yr","","This includes only rooftop PV"
"Electricity|Generation by technology|Imports","","TWh","EJ/yr","",""
"Electricity|Capacity by technology|Combined Heat and Power","","GW","GW","",""
"Electricity|Capacity by technology|Nuclear","","GW","GW","",""
"Electricity|Capacity by technology|Coal","","GW","GW","",""
"Electricity|Capacity by technology|Gas","","GW","GW","",""
"Electricity|Capacity by technology|Gas w/ CCS","","GW","GW","",""
"Electricity|Capacity by technology|Hydro","","GW","GW","",""
"Electricity|Capacity by technology|Biomass","","GW","GW","",""
"Electricity|Capacity by technology|Geothermal","","GW","GW","",""
"Electricity|Capacity by technology|Solar","","GW","GW","",""
"Electricity|Capacity by technology|Wind","","GW","GW","",""
"Electricity|Capacity by technology|Solar PV (distributed)","","GW","GW","","This includes only rooftop PV"
"Electricity|Capacity by technology|Storage","","GW","GW","",""
"Electricity|Capacity by technology|Total","","GW","GW","",""
