"Default Indicator Name","Model Name","Unit of Entry","Default Unit","Conversion Factor","Note"
"Financial|Net Levelized Spending|Biofuels","","2014 $","billion US$2016/yr","",""
"Financial|Net Levelized Spending|Building Technologies","","2014 $","billion US$2016/yr","",""
"Financial|Net Levelized Spending|Coal","","2014 $","billion US$2016/yr","",""
"Financial|Net Levelized Spending|Fossil Power Plants","","2014 $","billion US$2016/yr","",""
"Financial|Net Levelized Spending|Fossil Power Plants w/ CCS","","2014 $","billion US$2016/yr","",""
"Financial|Net Levelized Spending|Natural Gas","","2014 $","billion US$2016/yr","",""
"Financial|Net Levelized Spending|Nuclear Power Plants","","2014 $","billion US$2016/yr","",""
"Financial|Net Levelized Spending|Other","","2014 $","billion US$2016/yr","",""
"Financial|Net Levelized Spending|Other Efficiency","","2014 $","billion US$2016/yr","",""
"Financial|Net Levelized Spending|Petroleum Products","","2014 $","billion US$2016/yr","",""
"Financial|Net Levelized Spending|Renewable Power Plans","","2014 $","billion US$2016/yr","",""
"Financial|Net Levelized Spending|Synthetic Fuels","","2014 $","billion US$2016/yr","",""
"Financial|Net Levelized Spending|Related to Vehicles","","2014 $","billion US$2016/yr","",""
"Financial|Net Levelized Spending|Total","","2014 $","billion US$2016/yr","",""
"Financial|Net Annual Spending|Biofuels","","2014 $","billion US$2016/yr","",""
"Financial|Net Annual Spending|Building Technologies","","2014 $","billion US$2016/yr","",""
"Financial|Net Annual Spending|Coal","","2014 $","billion US$2016/yr","",""
"Financial|Net Annual Spending|Power Plants","","2014 $","billion US$2016/yr","",""
"Financial|Net Annual Spending|Fossil Power Plants w/ CCS","","2014 $","billion US$2016/yr","",""
"Financial|Net Annual Spending|Natural Gas","","2014 $","billion US$2016/yr","",""
"Financial|Net Annual Spending|Nuclear Power Plants","","2014 $","billion US$2016/yr","",""
"Financial|Net Annual Spending|Other","","2014 $","billion US$2016/yr","",""
"Financial|Net Annual Spending|Other Efficiency","","2014 $","billion US$2016/yr","",""
"Financial|Net Annual Spending|Petroleum Products","","2014 $","billion US$2016/yr","",""
"Financial|Net Annual Spending|Renewable Power Plans","","2014 $","billion US$2016/yr","",""
"Financial|Net Annual Spending|Synthetic Fuels","","2014 $","billion US$2016/yr","",""
"Financial|Net Annual Spending|Vehicles","","2014 $","billion US$2016/yr","",""
"Financial|Net Annual Spending|Total","","2014 $","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Total","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Biofuels","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Conventional Building Technologies","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Conventional Ice Vehicles","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Electric and Hydrogen Fuel Cell Vehicles","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Fossil Power Plants","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Fossil Power Plants w/ CCS","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|High Efficiency and Electric Building Technologies","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|High Efficiency Ice Vehicles","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Nuclear Power Plants","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Other","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Renewable Power Plants","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Synthetic Fuels","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Coal","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Natural Gas","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Petroleum Products","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Financial|Cumulative Net Investment|Total Fossil Fuels","","Running Sum of 2014 $T","billion US$2016/yr","",""
"Buildings|Commercial building GHG Emissions by Gas|CO2","","MEGATONNE","Mt CO2e/yr","",""
"Emissions|CO2 Emissions by Sector|Productive","","MEGATONNE","Mt/yr","",""
"Buildings|Residential building GHG Emissions by Gas|CO2","","MEGATONNE","Mt/yr","",""
"Emissions|CO2 Emissions by Sector|Transportation","","MEGATONNE","Mt/yr","",""
"Emissions|CO2 Emissions by Sector|Buildings","","MEGATONNE","Mt/yr","","Sum of  residential and commercial emissions"
