"Model Indicator Name","Unit of Entry","Default Indicator Name","Note"
"Net Levelized Spending|BIOFUELS","$","",""
"Net Levelized Spending|BUILDING TECHNOLOGIES","$","",""
"Net Levelized Spending|COAL","$","",""
"Net Levelized Spending|FOSSIL POWER PLANTS","$","",""
"Net Levelized Spending|FOSSIL POWER PLANTS W/CCS","$","",""
"Net Levelized Spending|NATURAL GAS","$","",""
"Net Levelized Spending|NUCLEAR POWER PLANTS","$","",""
"Net Levelized Spending|OTHER","$","",""
"Net Levelized Spending|OTHER EFFICIENCY","$","",""
"Net Levelized Spending|PETROLEUM PRODUCTS","$","",""
"Net Levelized Spending|RENEWABLE POWER PLANTS","$","",""
"Net Levelized Spending|SYNTHETIC FUELS","$","",""
"Net Levelized Spending|VEHICLES","$","",""
"Net Levelized Spending|TOTAL","$","",""
"Net Annual Spending|BIOFUELS","$","",""
"Net Annual Spending|BUILDING TECHNOLOGIES","$","",""
"Net Annual Spending|COAL","$","",""
"Net Annual Spending|FOSSIL POWER PLANTS","$","",""
"Net Annual Spending|FOSSIL POWER PLANTS W/CCS","$","",""
"Net Annual Spending|NATURAL GAS","$","",""
"Net Annual Spending|NUCLEAR POWER PLANTS","$","",""
"Net Annual Spending|OTHER","$","",""
"Net Annual Spending|OTHER EFFICIENCY","$","",""
"Net Annual Spending|PETROLEUM PRODUCTS","$","",""
"Net Annual Spending|RENEWABLE POWER PLANTS","$","",""
"Net Annual Spending|SYNTHETIC FUELS","$","",""
"Net Annual Spending|VEHICLES","$","",""
"Net Annual Spending|TOTAL","$","",""
"NA|NA","$","",""
"Cumulative Net Investment|TOTAL","Running Sum of $T","",""
"Cumulative Net Investment|BIOFUELS","Running Sum of $T","",""
"Cumulative Net Investment|CONVENTIONAL BUILDING TECHNOLOGIES","Running Sum of $T","",""
"Cumulative Net Investment|CONVENTIONAL ICE VEHICLES","Running Sum of $T","",""
"Cumulative Net Investment|ELECTRIC AND HYDROGEN FUEL CELL VEHICLES","Running Sum of $T","",""
"Cumulative Net Investment|FOSSIL POWER PLANTS","Running Sum of $T","",""
"Cumulative Net Investment|FOSSIL POWER PLANTS W/CCS","Running Sum of $T","",""
"Cumulative Net Investment|HIGH EFFICIENCY AND ELECTRIC BUILDING TECHNOLOGIES","Running Sum of $T","",""
"Cumulative Net Investment|HIGH EFFICIENCY ICE VEHICLES","Running Sum of $T","",""
"Cumulative Net Investment|NUCLEAR POWER PLANTS","Running Sum of $T","",""
"Cumulative Net Investment|OTHER","Running Sum of $T","",""
"Cumulative Net Investment|RENEWABLE POWER PLANTS","Running Sum of $T","",""
"Cumulative Net Investment|SYNTHETIC FUELS","Running Sum of $T","",""
"Cumulative Net Fossil|COAL","Running Sum of $T","",""
"Cumulative Net Fossil|NATURAL GAS","Running Sum of $T","",""
"Cumulative Net Fossil|PETROLEUM PRODUCTS","Running Sum of $T","",""
"Cumulative Net Fossil|TOTAL","Running Sum of $T","",""
"Emissions by Sector|COMMERCIAL","MEGATONNE","",""
"Emissions by Sector|PRODUCTIVE","MEGATONNE","",""
"Emissions by Sector|RESIDENTIAL","MEGATONNE","",""
"Emissions by Sector|TRANSPORTATION","MEGATONNE","",""
