Model Indicator Name,Default Indicator Name,Unit of Entry,Note
Annual GHG Emissions|Agriculture,Emissions|GHG Emissions by Sector|Agriculture,MMT CO2e,
Annual GHG Emissions|Residential and Commercial,Emissions|GHG Emissions by Sector|Buildings,MMT CO2e,
Annual GHG Emissions|Electric Power,Emissions|GHG Emissions by Sector|Electricity,MMT CO2e,
Annual GHG Emissions|High GWP,,MMT CO2e,
Annual GHG Emissions|Industrial,Emissions|GHG Emissions by Sector|Industry,MMT CO2e,
Annual GHG Emissions|Recycling and Waste,Emissions|GHG Emissions by Sector|Waste,MMT CO2e,this indicator also includes emissions from recycling
Annual GHG Emissions|Transportation (Incl. TCU),Emissions|GHG Emissions by Sector|Transportation,MMT CO2e,
Annual GHG Emissions|Total,Emissions|Total GHG Emissions|Excluding LULUCF,MMT CO2e,
Energy GHG Emissions|Agriculture,,MMT CO2e,
Energy GHG Emissions|Residential and Commercial,,MMT CO2e,
Energy GHG Emissions|Electric Power,,MMT CO2e,
Energy GHG Emissions|Industrial,,MMT CO2e,
Energy GHG Emissions|Transportation (Incl. TCU),,MMT CO2e,
Energy GHG Emissions|Total,Emissions|Total GHG Emissions|Energy Related,MMT CO2e,
Final energy demand|Pipeline Gas|,Energy|Final Energy by Fuel|Gases,EJ,
Final energy demand|Pipeline Gas|Natural Gas,,EJ,
Final energy demand|Pipeline Gas|Biogas,Energy|Final Energy by Fuel|Gaseous Biomass,EJ,
Final energy demand|Pipeline Gas|Synthetic Gas,,EJ,
Final energy demand|Pipeline Gas|Pipeline Hydrogen,,EJ,
Final energy demand|Gasoline|,Energy|Final Energy by Fuel|Gasoline,EJ,
Final energy demand|Gasoline|Gasoline,,EJ,
Final energy demand|Gasoline|Renewable Gasoline,,EJ,
Final energy demand|Diesel|,Energy|Final Energy by Fuel|Diesel,EJ,
Final energy demand|Diesel|Diesel,,EJ,
Final energy demand|Diesel|Renewable Diesel,,EJ,
Final energy demand|Electricity|,Energy|Final Energy by Fuel|Electricity,EJ,
Final energy demand|Hydrogen|,Energy|Final Energy by Fuel|Hydrogen,EJ,
Final energy demand|Other Fuels|,Energy|Final Energy by Fuel|Other,EJ,
Final energy demand|Total|,Energy|Final Energy by Fuel|Total,EJ,
Final energy demand|PATHWAYS - Reference|Coke,,EJ,
Final energy demand|PATHWAYS - Reference|Compressed Pipeline Gas (CNG),,EJ,
Final energy demand|PATHWAYS - Reference|Diesel,,EJ,
Final energy demand|PATHWAYS - Reference|Electricity,Energy|Final Energy Use by Sector|Electricity,EJ,
Final energy demand|PATHWAYS - Reference|Fuel Oil,,EJ,
Final energy demand|PATHWAYS - Reference|Gasoline,,EJ,
Final energy demand|PATHWAYS - Reference|Hydrogen,,EJ,
Final energy demand|PATHWAYS - Reference|Kerosene,,EJ,
Final energy demand|PATHWAYS - Reference|Kerosene-Jet Fuel,,EJ,
Final energy demand|PATHWAYS - Reference|Liquified Pipeline Gas (LNG),,EJ,
Final energy demand|PATHWAYS - Reference|LPG,,EJ,
Final energy demand|PATHWAYS - Reference|Pipeline Gas,,EJ,
Final energy demand|PATHWAYS - Reference|Refinery and Process Gas,,EJ,
Final energy demand|PATHWAYS - Reference|Waste Heat,,EJ,
Final energy demand|PATHWAYS - Reference|Wood,,EJ,
Final energy demand|PATHWAYS - Reference|Total,,EJ,
Final energy demand|PATHWAYS - Reference|Residential,Buildings|Energy Use By Sub-Sector|Residential,EJ,
Final energy demand|PATHWAYS - Reference|Commercial,Buildings|Energy Use By Sub-Sector|Commercial,EJ,
Final energy demand|PATHWAYS - Reference|Transportation,Energy|Final Energy Use by Sector|Transportation,EJ,
Final energy demand|PATHWAYS - Reference|Industrial,Energy|Final Energy Use by Sector|Industry,EJ,
Final energy demand|PATHWAYS - Reference|Oil & Gas Extraction,,EJ,
Final energy demand|PATHWAYS - Reference|Petroleum Refining,,EJ,
Final energy demand|PATHWAYS - Reference|Agriculture,Energy|Final Energy Use by Sector|Agriculture,EJ,
Final energy demand|PATHWAYS - Reference|TCU,,EJ,
Final energy demand|PATHWAYS - Reference|Unspecified,,EJ,
